"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6078","Перейти на страницу производителя","chromium","Mon Apr 21 13:58:04 GMT 2025","passed","Mon Apr 21 13:58:10 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","12049","Клик по адресу платежной информации","chromium","Mon Apr 21 13:57:25 GMT 2025","passed","Mon Apr 21 13:57:37 GMT 2025","Баги по аккаунту","accountInfoBugs.spec.js","",""
"","5828","Переход на страницу браслета (Hot Item)","chromium","Mon Apr 21 13:58:20 GMT 2025","passed","Mon Apr 21 13:58:26 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","5356","Перейти на страницу описания товара","chromium","Mon Apr 21 13:58:41 GMT 2025","passed","Mon Apr 21 13:58:46 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","6225","Клик по кнопке Sing In","chromium","Mon Apr 21 13:58:35 GMT 2025","passed","Mon Apr 21 13:58:41 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","10849","Изменение количества товара в корзине","chromium","Mon Apr 21 13:58:55 GMT 2025","passed","Mon Apr 21 13:59:06 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","3062","Добавление комментария к товару","chromium","Mon Apr 21 13:58:26 GMT 2025","passed","Mon Apr 21 13:58:29 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","8312","Восстановление пароля","chromium","Mon Apr 21 13:57:50 GMT 2025","passed","Mon Apr 21 13:57:59 GMT 2025","Баги по аккаунту","accountInfoBugs.spec.js","",""
"","9041","Клик по итоговой стоимости товаров","chromium","Mon Apr 21 13:58:46 GMT 2025","passed","Mon Apr 21 13:58:55 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","12593","Добавление платежной информации","chromium","Mon Apr 21 13:57:38 GMT 2025","passed","Mon Apr 21 13:57:50 GMT 2025","Баги по аккаунту","accountInfoBugs.spec.js","",""
"","1741","Переключение количества продуктов на странице","chromium","Mon Apr 21 13:57:59 GMT 2025","passed","Mon Apr 21 13:58:00 GMT 2025","","productsBugs.spec.js","",""
"","4465","Перейти на страницу Твиттера","chromium","Mon Apr 21 13:58:10 GMT 2025","passed","Mon Apr 21 13:58:15 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","3771","Перейти в карточку товара и поменять валюту","chromium","Mon Apr 21 13:58:00 GMT 2025","passed","Mon Apr 21 13:58:04 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","5397","Перейти на страницу My Space","chromium","Mon Apr 21 13:58:15 GMT 2025","passed","Mon Apr 21 13:58:20 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
"","5782","Фильтрация товаров по цене в карточке товара","chromium","Mon Apr 21 13:58:29 GMT 2025","passed","Mon Apr 21 13:58:35 GMT 2025","Баги по товарам","productsBugs.spec.js","",""
